academy,アカデミー
chart,チャート
check,チェック
checker,チェッカー
checkout,チェックアウト
cheese,チーズ
cheeseburger,チーズバーガー
cheesecake,チーズケーキ
chef,シェフ
chess,チェス
chessboard,チェスボード
chicago,シカゴ
child,チャイルド
chloroform,クロロホルム
chocolate,チョコレート
christmas,クリスマス
cider,サイダー
cinnamon,シナモン
circuit,サーキット
circus,サーカス
city,シティ
clapperboard,カチンコ
class,クラス
client,クライアント
clip,クリップ
clipboard,クリップボード
cloakroom,クロークルーム
club,クラブ
coach,コーチ
coat,コート
cocoa,ココア
coffee,コーヒー
coil,コイル
collaboration,コラボレーション
collection,コレクション
college,カレッジ
colombo,コロンボ
colonnade,コロネード
colorado,コロラド
colorful,カラフル
column,コラム
combination,コンビネーション
comedian,コメディアン
comedy,コメディー
comic,コミック
command,コマンド
comment,コメント
commercial,コマーシャル
commit,コミット
communication,コミュニケーション
community,コミュニティ
community,コミュニティー
compartment,コンパートメント
compliance,コンプライアンス
computer,コンピュータ
computer,コンピューター
concept,コンセプト
concert,コンサート
conference,カンファレンス
connection,コネクション
constructor,コンストラクタ
contest,コンテスト
control,コントロール
cookie,クッキー
cooler,クーラー
coordinator,コーディネーター
copywriter,コピーライター
core,コア
corner,コーナー
cost,コスト
countdown,カウントダウン
country,カントリー
coupon,クーポン
course,コース
cowboy,カウボーイ
cream,クリーム
credit,クレジット
crystal,クリスタル
cuba,キューバ
cup,カップ
cup,コップ
curtain,カーテン
cushion,クッション
cyberspace,サイバースペース
cyborg,サイボーグ
cycling,サイクリング
cylinder,シリンダー
cytosine,シトシン
damage,ダメージ
dancehall,ダンスホール
dancer,ダンサー
daniel,ダニエル
danish,デニッシュ
darling,ダーリン
darts,ダーツ
david,デイヴィッド
debug,デバッグ
delta,デルタ
denmark,デンマーク
deodorant,デオドラント
derby,ダービー
design,デザイン
designer,デザイナー
destructor,デストラクタ
detroit,デトロイト
dole,ドール
doll,ドール
diagram,ダイヤグラム
diamond,ダイヤモンド
diana,ダイアナ
diesel,ディーゼル
diet,ダイエット
digital,デジタル
dirt,ダート
disco,ディスコ
discover,ディスカバー
disney,ディズニー
disneyland,ディズニーランド
documentary,ドキュメンタリー
dollhouse,ドールハウス
dolphin,イルカ
dome,ドーム
donut,ドーナッツ
double,ダブル
douglas,ダグラス
dracula,ドラキュラ
dream,ドリーム
driveway,ドライブウェイ
drum,ドラム
drummer,ドラマー
dynamite,ダイナマイト
dyne,ダイン
dystrophy,ジストロフィー
ear,イヤー
year,イヤー
east,イースト
echo,エコー
edward,エドワード
edwards,エドワーズ
egypt,エジプト
eight,エイト
elevator,エレベーター
eleven,イレブン
elizabeth,エリザベス
mail,メール
end,エンド
ending,エンディング
energy,エネルギー
engine,エンジン
entertainment,エンターテインメント
entertainment,エンターテイメント
entropy,エントロピー
envelope,エンベロープ
episode,エピソード
escalator,エスカレーター
essay,エッセイ
estonia,エストニア
ethiopia,エチオピア
etiquette,エチケット
eurasia,ユーラシア
event,イベント
expert,エキスパート
facebook,フェイスブック
family,ファミリー
fan,ファン
fandom,ファンダム
fashion,ファッション
fax,ファックス
ferry,フェリー
ferryboat,フェリーボート
festival,フェスティバル
fiction,フィクション
field,フィールド
fight,ファイト
figure,フィギュア
film,フィルム
final,ファイナル
five,ファイブ
flash,フラッシュ
floor,フロア
florida,フロリダ
follow,フォロー
football,フットボール
fork,フォーク
forum,フォーラム
four,フォー
franklin,フランクリン
free,フリー
freelance,フリーランス
freelancer,フリーランサー
front,フロント
fruit,フルーツ
full,フル
gallery,ギャラリー
game,ゲーム
garden,ガーデン
gas,ガス
gauge,ゲージ
gay,ゲイ
gear,ギア
george,ジョージ
gift,ギフト
giraffe,ジラフ
girl,ガール
god,ゴッド
godzilla,ゴジラ
gold,ゴールド
golf,ゴルフ
google,グーグル
gorilla,ゴリラ
gourmet,グルメ
green,グリーン
grey,グレー
group,グループ
guam,グアム
guest,ゲスト
guide,ガイド
guideline,ガイドライン
guitarist,ギタリスト
half,ハーフ
ham,ハム
hamburger,ハンバーガー
hamster,ハムスター
handbag,ハンドバッグ
hanoi,ハノイ
happy,ハッピー
harmony,ハーモニー
harvard,ハーバード
heart,ハート
heartful,ハートフル
helicopter,ヘリコプター
helium,ヘリウム
herb,ハーブ
hero,ヒーロー
hertz,ヘルツ
hiking,ハイキング
hitler,ヒトラー
hollywood,ハリウッド
home,ホーム
homeless,ホームレス
hope,ホープ
horror,ホラー
host,ホスト
hotdog,ホットドッグ
hotel,ホテル
hurdle,ハードル
husband,ハズバンド
ice,アイス
idea,アイデア
idea,アイディア
idol,アイドル
illustration,イラストレーション
illustrator,イラストレーター
imagination,イマジネーション
impact,インパクト
inch,インチ
indian,インディアン
indiana,インディアナ
indonesia,インドネシア
infrastructure,インフラストラクチャー
ink,インキ
inspector,インスペクター
install,インストール
interchange,インターチェンジ
interface,インターフェース
internet,インターネット
interview,インタビュー
iphone,アイフォン
ipod,アイポッド
islam,イスラム
islamabad,イスラマバード
island,アイランド
item,アイテム
jaguar,ジャガー
japan,ジャパン
japanese,ジャパニーズ
jasmine,ジャスミン
javascript,ジャバスクリプト
jet,ジェット
jobs,ジョブス
jobs,ジョブズ
john,ジョン
joke,ジョーク
journalist,ジャーナリスト
juice,ジュース
jump,ジャンプ
junior,ジュニア
kennedy,ケネディ
kentucky,ケンタッキー
kenya,ケニア
ketone,ケトン
key,キー
keyboard,キーボード
keynes,ケインズ
kids,キッズ
korea,コリア
love,ラブ
lake,レーク
lakeside,レークサイド
lap,ラップ
laserr,レーザー
lemonade,レモネード
leonardo,レオナルド
lesson,レッスン
lever,レバー
license,ライセンス
lidar,ライダー
lifeline,ライフライン
lifestyle,ライフスタイル
lifework,ライフワーク
lift,リフト
liger,ライガー
light,ライト
right,ライト
line,ライン
liner,ライナー
link,リンク
lipstick,リップスティック
list,リスト
wrist,リスト
lord,ロード
road,ロード
lobby,ロビー
lobster,ロブスター
lock,ロック
locker,ロッカー
logo,ロゴ
loop,ループ
machine,マシン
magic,マジック
maine,メーン
maker,メーカー
management,マネジメント
manager,マネージャー
manchester,マンチェスター
mango,マンゴー
manicure,マニキュア
manifesto,マニフェスト
manners,マナー
mansion,マンション
map,マップ
marathon,マラソン
maria,マリア
marimba,マリンバ
marker,マーカー
marketing,マーケティング
martini,マティーニ
mascot,マスコット
massachusetts,マサチューセッツ
master,マスター
mechanism,メカニズム
medalist,メダリスト
melody,メロディ
meltdown,メルトダウン
member,メンバー
mercury,マーキュリー
merit,メリット
message,メッセージ
mexico,メキシコ
mike,マイク
michael,マイケル
microsoft,マイクロソフト
mile,マイル
milk,ミルク
miller,ミラー
mini,ミニ
minivan,ワンボックスカー
minotaur,ミノタウロス
minus,マイナス
mission,ミッション
mode,モード
model,モデル
module,モジュール
money,マネー
monkey,モンキー
monopoly,モノポリー
monster,モンスター
monthly,マンスリー
moore,ムーア
morning,モーニング
motel,モーテル
motivation,モチベーション
motocross,モトクロス
motto,モットー
mount,マウント
movie,ムービー
mozilla,モジラ
muhammad,ムハンマド
mummy,ミイラ
music,ミュージック
musician,ミュージシャン
mustard,マスタード
name,ネーム
napoleon,ナポレオン
narration,ナレーション
national,ナショナル
necktie,ネクタイ
neet,ニート
neon,ネオン
net,ネット
news,ニュース
newtown,ニュータウン
nicaragua,ニカラグア
nickel,ニッケル
night,ナイト
nine,ナイン
nitroglycerine,ニトログリセリン
nobel,ノーベル
node,ノード
noise,ノイズ
nonsense,ナンセンス
noodle,ヌードル
note,ノート
number,ナンバー
off,オフ
ohio,オハイオ
omelette,オムレツ
opening,オープニング
operation,オペレーション
orgasm,オーガズム
othello,オセロ
overcoat,オーバーコート
owner,オーナー
pace,ペース
package,パッケージ
pad,パッド
paintball,ペイントボール
pakistan,パキスタン
palace,パレス
palette,パレット
pamphlet,パンフレット
panasonic,パナソニック
panda,パンダ
panic,パニック
paper,ペーパー
parade,パレード
parallel,パラレル
park,パーク
parking,パーキング
parkway,パークウェイ
parody,パロディ
party,パーティ
party,パーティー
pass,パス
passport,パスポート
password,パスワード
pasta,パスタ
pattern,パターン
peak,ピーク
peanut,ピーナッツ
pelican,ペリカン
penguin,ペンギン
pennsylvania,ペンシルベニア
percent,パーセント
perestroika,ペレストロイカ
performance,パフォーマンス
personality,パーソナリティ
pet,ペット
peter,ピーター
peugeot,プジョー
pharaoh,ファラオ
phil,フィル
philadelphia,フィラデルフィア
phoenix,フェニックス
pianist,ピアニスト
picnic,ピクニック
pie,パイ
pill,ピル
pilot,パイロット
piloti,ピロティ
pink,ピンク
pipeline,パイプライン
pistachio,ピスタチオ
pitt,ピット
plan,プラン
planetarium,プラネタリウム
plasma,プラズマ
plate,プレート
platform,プラットホーム
player,プレーヤー
playoff,プレーオフ
plaza,プラザ
pliers,プライヤー
pocket,ポケット
point,ポイント
pole,ポール
poll,ポール
police,ポリス
ponytail,ポニーテール
pool,プール
pork,ポーク
porsche,ポルシェ
portugal,ポルトガル
position,ポジション
postmodernism,ポストモダニズム
powder,パウダー
power,パワー
premium,プレミアム
present,プレゼント
press,プレス
price,プライス
pride,プライド
prince,プリンス
princess,プリンセス
process,プロセス
processor,プロセッサー
produce,プロデュース
producer,プロデューサー
production,プロダクション
programming,プログラミング
propeller,プロペラ
psychometry,サイコメトリー
puma,ピューマ
puma,プーマ
pure,ピュア
quality,クオリティ
quasar,クエーサー
quiz,クイズ
test,テスト
racer,レーサー
racing,レーシング
radar,レーダー
rail,レール
random,ランダム
range,レンジ
ranking,ランキング
rate,レート
real,リアル
rear,リア
rebecca,レベッカ
receipt,レシート
record,レコード
recycle,リサイクル
red,レッド
reference,リファレンス
reference,レファレンス
regulation,レギュレーション
rehearsal,リハーサル
remake,リメイク
remember,リメンバー
remote,リモート
rental,レンタル
report,リポート
report,レポート
reset,リセット
rhythm,リズム
ribbon,リボン
richard,リチャード
ring,リング
risotto,リゾット
river,リバー
robert,ロバート
robertson,ロバートソン
robin,ロビン
robinson,ロビンソン
robot,ロボット
robotics,ロボティックス
rodeo,ロデオ
rolex,ロレックス
roller,ローラー
romance,ロマンス
room,ルーム
roommate,ルームメイト
rope,ロープ
rose,ローズ
routine,ルーチン
ruble,ルーブル
rugby,ラグビー
rule,ルール
rush,ラッシュ
rusk,ラスク
salami,サラミ
salon,サロン
sample,サンプル
sandal,サンダル
sandwich,サンドイッチ
sandwich,サンドウィッチ
santa,サンタ
sapphire,サファイア
sarin,サリン
satellite,サテライト
saturn,サターン
sauna,サウナ
sausage,ソーセージ
scale,スケール
scandal,スキャンダル
scarf,スカーフ
scenario,シナリオ
schedule,スケジュール
scoop,スクープ
scott,スコット
scroll,スクロール
seafood,シーフード
season,シーズン
seattle,シアトル
sector,セクター
security,セキュリティ
security,セキュリティー
sega,セガ
segment,セグメント
segway,セグウェイ
senegal,セネガル
sense,センス
sensor,センサー
serbia,セルビア
series,シリーズ
service,サービス
session,セッション
seven,セブン
sex,セックス
sexy,セクシー
shampoo,シャンプー
shaver,シェーバー
shirt,シャツ
shoes,シューズ
shopping,ショッピング
show,ショー
shower,シャワー
shuttle,シャトル
siberia,シベリア
side,サイド
sign,サイン
silencer,サイレンサー
simulation,シミュレーション
singapore,シンガポール
singer,シンガー
single,シングル
sirloin,サーロイン
six,シックス
skinhead,スキンヘッド
skirt,スカート
skyline,スカイライン
skype,スカイプ
slideshow,スライドショー
slovakia,スロバキア
slovakia,スロヴァキア
slovenia,スロベニア
slovenia,スロヴェニア
smartphone,スマートフォン
smith,スミス
smog,スモッグ
snack,スナック
snob,スノッブ
soccer,サッカー
sofa,ソファー
soft,ソフト
sole,ソール
somalia,ソマリア
sonata,ソナタ
song,ソング
sonnet,ソネット
sony,ソニー
sound,サウンド
soundtrack,サウンドトラック
soup,スープ
source,ソース
south,サウス
space,スペース
spaghetti,スパゲッティ
spain,スペイン
spanner,スパナ
spearmint,スペアミント
special,スペシャル
spice,スパイス
spool,スプール
spoon,スプーン
sports,スポーツ
spot,スポット
sprinkler,スプリンクラー
sputnik,スプートニク
square,スクウェア
stadium,スタジアム
staff,スタッフ
stage,ステージ
stalin,スターリン
standard,スタンダード
standby,スタンバイ
star,スター
starbucks,スターバックス
stardust,スターダスト
state,ステート
station,ステーション
status,ステータス
steak,ステーキ
stealth,ステルス
step,ステップ
steven,スチーブン
steven,スティーブン
steven,スティーヴン
steve,スティーブ
steve,スティーヴ
stew,シチュー
sticker,ステッカー
stocking,ストッキング
stop,ストップ
strap,ストラップ
street,ストリート
stress,ストレス
studio,スタジオ
style,スタイル
subculture,サブカルチャー
suggest,サジェスト
suggestion,サジェスチョン
suitcase,スーツケース
sumatra,スマトラ
summer,サマー
sunday,サンデー
sunroof,サンルーフ
super,スーパー
supercomputer,スーパーコンピューター
supporter,サポーター
sweater,セーター
sweden,スウェーデン
swimming,スイミング
symbol,シンボル
synergy,シナジー
syrup,シロップ
system,システム
tabasco,タバスコ
table,テーブル
tablecloth,テーブルクロス
taboo,タブー
tachyon,タキオン
tajikistan,タジキスタン
tank,タンク
tape,テープ
tapioca,タピオカ
target,ターゲット
taste,テイスト
taste,テースト
tautology,トートロジー
taxi,タクシー
tchaikovsky,チャイコフスキー
tea,ティー
team,チーム
technique,テクニック
technology,テクノロジー
teletype,テレタイプ
television,テレビジョン
telex,テレックス
tent,テント
terabyte,テラバイト
terminal,ターミナル
terrorism,テロリズム
terrorist,テロリスト
testosterone,テストステロン
tetris,テトリス
texas,テキサス
text,テキスト
theory,セオリー
thirteen,サーティーン
thomas,トマス
three,スリー
thrill,スリル
through,スルー
thunder,サンダー
time,タイム
tibet,チベット
timing,タイミング
title,タイトル
toaster,トースター
toggle,トグル
tonga,トンガ
top,トップ
touch,タッチ
touchpad,タッチパッド
tournament,トーナメント
tower,タワー
town,タウン
track,トラック
trailer,トレーラー
trampoline,トランポリン
transceiver,トランシーバー
transistor,トランジスタ
tray,トレイ
tray,トレー
tree,ツリー
trigger,トリガー
trouble,トラブル
troublemaker,トラブルメーカー
trump,トランプ
trunk,トランク
tulip,チューリップ
tuna,ツナ
tunnel,トンネル
turbo,ターボ
twin,ツイン
twitter,ツイッター
type,タイプ
ufo,ユーフォー
ukraine,ウクライナ
ultra,ウルトラ
umlaut,ウムラウト
unicode,ユニコード
unicorn,ユニコーン
uniform,ユニフォーム
unit,ユニット
universal,ユニバーサル
unix,ユニックス
up,アップ
update,アップデート
user,ユーザー
valve,バルブ
vampire,ヴァンパイア
vampire,バンパイア
vampire,バンパイヤ
vancouver,バンクーバー
variation,バリエーション
variation,ヴァリエーション
variety,バラエティー
vegetable,ベジタブル
venezuela,ベネズエラ
veteran,ベテラン
victor,ビクター
victoria,ヴィクトリア
video,ビデオ
videotape,ビデオテープ
vietnam,ベトナム
viola,ビオラ
viola,ヴィオラ
violin,バイオリン
violin,ヴァイオリン
virginia,バージニア
virus,ビールス
virus,ウィルス
virus,ウイルス
vitamin,ビタミン
vladivostok,ウラジオストク
vocal,ボーカル
vocalist,ボーカリスト
vodka,ウォッカ
volleyball,バレーボール
volunteer,ボランティア
volvo,ボルボ
waiter,ウエーター
waitress,ウェイトレス
waitress,ウェートレス
waitress,ウエイトレス
water,ウォーター
way,ウェー
way,ウエイ
way,ウエー
wear,ウエア
web,ウェブ
website,ウェブサイト
wedge,ウェッジ
weekly,ウィークリー
weight,ウェイト
weight,ウェート
weight,ウエイト
weight,ウエート
wheel,ホイール
whip,ホイップ
whisky,ウィスキー
whisky,ウイスキー
white,ホワイト
wife,ワイフ
wiki,ウィキ
wikipedia,ウィキペディア
wiktionary,ウィクショナリー
wilhelm,ヴィルヘルム
william,ウィリアム
williams,ウィリアムス
williams,ウィリアムズ
williams,ウイリアムス
williams,ウイリアムズ
wilson,ウィルソン
window,ウインドー
window,ウインドウ
window,ウィンドウ
wink,ウインク
winter,ウィンター
wizard,ウィザード
wizard,ウイザード
wolf,ウルフ
woman,ウーマン
wood,ウッド
wool,ウール
world,ワールド
wrench,レンチ
wrestler,レスラー
wrestling,レスリング
young,ヤング
youth,ユース
zone,ゾーン
zucchini,ズッキーニ
